"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2004,합계,118,39,79,10,43,65
2004,종로구,46,8,38,1,8,37
2004,중구,17,5,12,1,11,5
2004,광진구,7,-,7,3,3,1
2004,중랑구,1,1,-,-,1,-
2004,성북구,3,3,-,-,-,3
2004,강북구,1,1,-,-,1,-
2004,도봉구,1,1,-,-,1,-
2004,노원구,3,1,2,1,-,2
2004,은평구,1,1,-,-,1,-
2004,서대문구,2,1,1,-,2,-
2004,마포구,5,1,4,-,1,4
2004,양천구,2,2,-,-,2,-
2004,강서구,1,1,-,-,1,-
2004,금천구,1,1,-,-,-,1
2004,영등포구,3,-,3,1,1,1
2004,관악구,1,1,-,-,1,-
2004,서초구,9,6,3,2,6,1
2004,강남구,9,4,5,1,1,7
2004,송파구,5,1,4,-,2,3
