"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2005,합계,147,54,93,10,56,81
2005,종로구,53,8,45,1,10,42
2005,중구,19,7,12,1,13,5
2005,용산구,1,1,-,-,1,-
2005,성동구,1,1,-,-,1,-
2005,광진구,8,2,6,3,4,1
2005,중랑구,1,1,-,-,1,-
2005,성북구,3,3,-,-,-,3
2005,강북구,1,1,-,-,1,-
2005,도봉구,4,4,-,-,2,2
2005,노원구,5,3,2,1,1,3
2005,서대문구,1,-,1,-,1,-
2005,마포구,6,1,5,-,1,5
2005,양천구,2,2,-,-,2,-
2005,강서구,1,1,-,-,1,-
2005,구로구,1,1,-,-,1,-
2005,금천구,1,1,-,-,-,1
2005,영등포구,2,1,1,1,-,1
2005,관악구,1,1,-,-,1,-
2005,서초구,14,8,6,2,8,4
2005,강남구,16,6,10,1,4,11
2005,송파구,6,1,5,-,3,3
