"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,서대문구,"112,789","103,981","8,808","122,004","110,019","11,985","88,224","82,982","5,242"
1997,서대문구,"138,054","126,016","12,038","141,424","129,175","12,249","107,299","102,720","4,579"
1998,서대문구,"144,765","131,011","13,754","132,960","119,443","13,517","110,979","104,381","6,598"
1999,서대문구,"133,233","118,369","14,864","144,108","127,693","16,415","107,246","99,086","8,160"
2000,서대문구,"165,040","145,415","19,625","179,665","157,518","22,147","122,289","108,774","13,515"
2001,서대문구,"182,270","159,015","23,255","191,106","171,132","19,974","146,200","128,920","17,280"
2002,서대문구,"170,246","159,153","11,093","177,729","167,887","9,842","131,180","125,534","5,646"
2003,서대문구,"194,658","180,695","13,963","220,726","204,668","16,058","152,601","144,700","7,901"
2004,서대문구,"224,585","207,424","17,161","276,791","258,614","18,177","176,217","163,885","12,332"
2005,서대문구,"258,365","243,615","14,750","285,657","270,731","14,926","210,184","199,964","10,220"
2006,서대문구,"254,991","243,425","11,566","273,183","261,554","11,629","212,279","204,478","7,801"
2007,서대문구,"273,811","261,247","12,564","293,781","280,942","12,839","232,562","225,696","6,866"
2008,서대문구,"328,297","313,331","14,966","337,431","322,035","15,396","261,078","250,765","10,313"
2009,서대문구,"366,169","353,149","13,020","373,272","359,018","14,254","310,957","302,082","8,874"
2010,서대문구,"330,149","317,810","12,339","326,398","312,868","13,530","283,652","275,084","8,568"
2011,서대문구,"295,009","283,709","11,300","306,005","293,942","12,063","256,796","250,957","5,839"
2012,서대문구,"323,776","311,451","12,325","333,697","320,441","13,256","275,562","270,429","5,133"
2013,서대문구,"360,439","349,771","10,668","355,143","339,616","15,527","309,680","304,195","5,486"
2014,서대문구,"371,151","357,487","13,664","375,967","358,335","17,632","326,759","321,100","5,659"
2015,서대문구,"423,033","405,124","17,909","429,655","410,057","19,598","353,783","347,928","5,855"
2016,서대문구,"493,444","469,693","23,751","516,616","491,044","25,572","399,184","388,644","10,539"
2017,서대문구,"566,139","541,635","24,504","591,766","566,362","25,404","468,328","461,620","6,708"
2018,서대문구,"599,956","574,227","25,729","639,710","613,551","26,159","489,641","480,221","9,421"
2019,서대문구,"686,451","656,351","30,101","727,396","696,913","30,483","570,683","561,850","8,834"
