Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,동대문구,476,…,5,…,4,…,216,…,-,…,1,…,78,…,1,…,149,-,22,…,-,-,,,,,,,,,,
1981,동대문구,504,…,5,"1,517",4,443,224,…,-,-,87,…,-,-,158,…,-,-,25,…,1,…,,,,,,,,,,
1982,동대문구,515,…,5,"1,385",5,638,219,…,-,-,83,…,-,-,179,…,-,-,23,…,1,…,,,,,,,,,,
1983,동대문구,551,…,5,"1,572",7,535,240,…,-,-,88,…,-,-,186,…,-,-,24,…,1,…,,,,,,,,,,
1984,동대문구,573,…,6,"1,662",6,235,243,…,-,-,98,…,-,-,194,…,-,-,25,…,1,…,,,,,,,,,,
1985,동대문구,609,…,7,"1,925",7,977,262,…,-,-,96,…,-,-,212,…,-,-,24,-,1,…,,,,,,,,,,
1986,동대문구,617,…,7,"2,266",7,277,227,…,-,-,104,…,-,-,249,…,-,-,22,…,1,…,,,,,,,,,,
1987,동대문구,737,…,7,"2,266",7,277,279,…,-,-,110,…,-,-,314,…,-,-,19,…,1,…,,,,,,,,,,
1988,동대문구,635,…,6,"1,886",2,581,192,…,-,-,75,…,-,-,346,…,-,-,13,…,1,…,,,,,,,,,,
1989,동대문구,663,…,6,"1,886",3,128,191,…,-,-,81,…,-,-,369,…,-,-,12,…,1,…,,,,,,,,,,
1990,동대문구,692,…,6,"2,186",3,128,190,…,-,-,87,…,-,-,395,…,-,-,10,…,1,…,,,,,,,,,,
1991,동대문구,701,…,6,"2,186",3,109,199,-,-,-,92,…,-,-,392,…,-,-,8,…,1,…,,,,,,,,,,
1992,동대문구,715,…,6,"2,398",3,109,196,…,-,-,93,…,-,-,410,…,-,-,6,…,1,500,,,,,,,,,,
1993,동대문구,741,"3,652",7,"2,528",2,88,198,291,-,-,96,20,-,-,432,220,-,-,5,5,1,500,,,,,,,,,,
1994,동대문구,757,"3,686",7,"2,528",2,88,197,326,-,-,95,20,-,-,451,220,-,-,4,4,1,500,,,,,,,,,,
1995,동대문구,750,"3,889",6,"2,438",4,230,191,293,-,-,98,20,-,-,445,400,-,-,5,8,1,500,,,,,,,,,,
1996,동대문구,722,"3,648",6,"2,412",4,251,193,153,-,-,101,20,-,-,415,310,-,-,2,2,1,500,,,,,,,,,,
1997,동대문구,686,"3,838",5,"2,272",4,307,195,337,-,-,103,20,-,-,376,400,-,-,2,2,1,500,,,,,,,,,,
1998,동대문구,679,"4,325",5,"2,310",3,775,194,318,-,-,103,20,-,-,371,400,-,-,2,2,1,500,,,,,,,,,,
1999,동대문구,627,"3,687",4,"2,108",3,248,196,388,-,-,107,29,-,-,314,400,-,-,2,2,1,512,,,,,,,,,,
2000,동대문구,625,"4,221",4,"1,859",5,"1,014",201,487,-,-,111,29,-,-,301,326,-,-,2,6,1,500,,,,,,,,,,
2001,동대문구,635,"3,879",4,"2,029",5,298,220,593,-,-,117,29,-,-,286,430,-,-,2,-,1,500,,,,,,,,,,
