"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000105817,대운초통학구역,0,48,330,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2016-08-12,2016-08-12,530974,2021-03-25
Z000150461,봉동초봉성초공동통학구역,1,45,710,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2016-08-12,2016-08-12,530975,2021-03-25
Z000101733,월계초통학구역,0,31,140,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,530976,2021-03-25
Z000150590,물금초서남초공동통학구역,1,48,330,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2016-08-12,2016-08-12,530977,2021-03-25
Z000150573,동성초수양초공동통학구역,1,48,240,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2016-08-12,2016-08-12,530978,2021-03-25
Z000150475,금천초빛누리초공동통학구역,1,46,170,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2016-08-12,2016-08-12,530979,2021-03-25
Z000101029,대구월촌초통학구역,0,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,531044,2021-03-25
Z000104446,계화초통학구역,0,45,800,8320000,전라북도교육청,8461000,전라북도부안교육지원청,2016-08-12,2016-08-12,531045,2021-03-25
Z000105571,금호초통학구역,0,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2016-08-12,2016-08-12,531046,2021-03-25
Z000150490,관산초용산초공동통학구역,1,46,800,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2016-08-12,2016-08-12,531047,2021-03-25
Z000105530,월포초통학구역,0,48,125,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531074,2021-03-25
Z000104413,동산초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531075,2021-03-25
Z000150577,삼성초용현초공동통학구역,1,48,240,9010000,경상남도교육청,9081000,경상남도사천교육지원청,2016-08-12,2016-08-12,531076,2021-03-25
Z000104403,신덕초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531077,2021-03-25
Z000104063,전주덕일초통학구역,0,45,113,8320000,전라북도교육청,8331000,전라북도전주교육지원청,2016-08-12,2017-02-10,531173,2021-03-25
Z000101635,동천초통학구역,0,31,200,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2016-08-12,531174,2021-03-25
Z000101739,천상초통학구역,0,31,710,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,530983,2021-03-25
Z000104081,전주서원초통학구역,0,45,111,8320000,전라북도교육청,8331000,전라북도전주교육지원청,2016-08-12,2016-08-12,530984,2021-03-25
Z000105739,능포초통학구역,0,48,310,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2016-08-12,2018-05-03,530985,2021-03-25
Z000104535,여수구봉초통학구역,0,46,130,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,530986,2021-03-25
Z000105930,가북초통학구역,0,48,880,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2016-08-12,2016-08-12,530987,2021-03-25
Z000104608,황전초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,530989,2021-03-25
Z000150585,대지초명덕초공동통학구역,1,48,740,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2016-08-12,2016-08-12,530981,2021-03-25
Z000150069,광주극락초유덕초공동통학구역,1,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2016-08-12,530982,2021-03-25
Z000104651,성황초통학구역,0,46,230,8490000,전라남도교육청,8551000,전라남도광양교육지원청,2016-08-12,2016-08-12,531048,2021-03-25
Z000104585,순천신흥초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,531049,2021-03-25
Z000104210,이리동남초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,531050,2021-03-25
Z000104207,이리고현초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,531051,2021-03-25
