"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,강동구,-,-,-
2000,강동구,-,-,-
2001,강동구,-,-,-
2002,강동구,-,-,-
2003,강동구,-,-,-
2004,강동구,279,3.08,22.18
2005,강동구,279,3.08,22.2
2006,강동구,280,3.09,22.25
2007,강동구,282,3.1,22.3
2008,강동구,283,3.11,22.4
2009,강동구,283,3.14,22.61
2010,강동구,283,3.14,22.61
2011,강동구,283,3.18,22.93
2012,강동구,284,3.2,23.02
2013,강동구,284,3.2,23.02
2014,강동구,286,3.26,23.5
2015,강동구,286,3.26,23.5
2016,강동구,286,3.26,23.5
2017,강동구,290,3.52,24.18
2018,강동구,290,3.52,24.19
2019,강동구,290,3.54,24.28
