"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,은평구,-,-,-
2000,은평구,-,-,-
2001,은평구,-,-,-
2002,은평구,-,-,-
2003,은평구,-,-,-
2004,은평구,327,2.95,18.51
2005,은평구,330,3.03,18.99
2006,은평구,331,3.03,19.02
2007,은평구,331,3.03,19
2008,은평구,331,3.04,19.06
2009,은평구,331,3.04,19.1
2010,은평구,332,3.05,19.17
2011,은평구,332,3.07,19.27
2012,은평구,333,3.07,19.3
2013,은평구,352,3.33,20.88
2014,은평구,352,3.33,20.88
2015,은평구,352,3.33,20.88
2016,은평구,352,3.33,20.92
2017,은평구,352,3.33,20.92
2018,은평구,352,3.33,20.92
2019,은평구,352,3.33,20.92
