"('Year',)","('sigName',)","('재정자립도',)"
2000,강서구,42.4
2001,강서구,44
2002,강서구,45.6
2003,강서구,41.4
2004,강서구,43.8
2005,강서구,45.3
2006,강서구,43.9
2007,강서구,38.1
2008,강서구,35.1
2009,강서구,32.9
2010,강서구,33.8
2011,강서구,34.5
2012,강서구,33.1
2013,강서구,29.7
2014,강서구,27.6(23.3)
2015,강서구,26.0(22.4)
2016,강서구,25.6(22.5)
2017,강서구,21.6
2018,강서구,21.5
2019,강서구,19.7
2020,강서구,21.1
