"('Year',)","('sigName',)","('재정자립도',)"
2000,동작구,42.2
2001,동작구,39.2
2002,동작구,41.7
2003,동작구,42
2004,동작구,43.3
2005,동작구,47.1
2006,동작구,48.2
2007,동작구,42.1
2008,동작구,43.4
2009,동작구,44
2010,동작구,45
2011,동작구,47.7
2012,동작구,44.4
2013,동작구,40
2014,동작구,34.4(31.8)
2015,동작구,28.7(28.7)
2016,동작구,33.1(28.7)
2017,동작구,27.2
2018,동작구,26.8
2019,동작구,26
2020,동작구,26.4
