"('Year',)","('sigName',)","('재정자립도',)"
2000,서초구,91.3
2001,서초구,91.4
2002,서초구,90.5
2003,서초구,89.8
2004,서초구,91.4
2005,서초구,92.6
2006,서초구,90.4
2007,서초구,90.5
2008,서초구,77.1
2009,서초구,78.5
2010,서초구,79.8
2011,서초구,79.4
2012,서초구,81.5
2013,서초구,73.8
2014,서초구,69.0(63.0)
2015,서초구,64.0(57.4)
2016,서초구,63.6(57.9)
2017,서초구,52.5
2018,서초구,53.4
2019,서초구,53.3
2020,서초구,54.7
