"('Year',)","('sigName',)","('재정자립도',)"
2000,마포구,48.7
2001,마포구,46.7
2002,마포구,44.7
2003,마포구,38.5
2004,마포구,40.6
2005,마포구,50.3
2006,마포구,51.7
2007,마포구,51.8
2008,마포구,49.6
2009,마포구,48.2
2010,마포구,47.1
2011,마포구,49.3
2012,마포구,49.1
2013,마포구,46.1
2014,마포구,42.6(32.8)
2015,마포구,40.9(33.3)
2016,마포구,40.9(33.1)
2017,마포구,32.9
2018,마포구,31.5
2019,마포구,30.7
2020,마포구,31.6
