"('Year',)","('sigName',)","('재정자립도',)"
2000,성북구,43.4
2001,성북구,43.7
2002,성북구,44.5
2003,성북구,44.6
2004,성북구,43.1
2005,성북구,47.4
2006,성북구,44.5
2007,성북구,39.1
2008,성북구,41.2
2009,성북구,40.6
2010,성북구,34.8
2011,성북구,35.8
2012,성북구,33.4
2013,성북구,30.5
2014,성북구,26.8(23.9)
2015,성북구,24.4(22.4)
2016,성북구,25.5(22.8)
2017,성북구,21.8
2018,성북구,19.6
2019,성북구,19.6
2020,성북구,20
