"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2002,합계,101,…,…,10,37,54
2002,종로구,35,…,…,1,7,27
2002,중구,15,…,…,1,9,5
2002,용산구,-,…,…,-,-,-
2002,성동구,-,…,…,-,-,-
2002,광진구,7,…,…,3,3,1
2002,동대문구,-,…,…,-,-,-
2002,중랑구,1,…,…,-,1,-
2002,성북구,3,…,…,-,-,3
2002,강북구,1,…,…,-,1,-
2002,도봉구,1,…,…,-,1,-
2002,노원구,4,…,…,1,-,3
2002,은평구,-,…,…,-,-,-
2002,서대문구,-,…,…,-,-,-
2002,마포구,5,…,…,-,1,4
2002,양천구,4,…,…,-,2,2
2002,강서구,-,…,…,-,-,-
2002,구로구,1,…,…,-,1,-
2002,금천구,-,…,…,-,-,-
2002,영등포구,3,…,…,1,1,1
2002,동작구,-,…,…,-,-,-
2002,관악구,1,…,…,-,1,-
2002,서초구,8,…,…,2,6,-
2002,강남구,11,…,…,1,3,7
2002,송파구,1,…,…,-,-,1
2002,강동구,-,…,…,-,-,-
