"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,은평구,-,…,…,-,-,-
1994,은평구,-,…,…,-,-,-
1995,은평구,-,…,…,-,-,-
1996,은평구,-,…,…,-,-,-
1997,은평구,1,…,…,-,1,-
1999,은평구,1,…,…,-,1,-
2000,은평구,1,…,…,-,1,-
2001,은평구,1,…,…,-,1,-
2002,은평구,-,…,…,-,-,-
2003,은평구,1,…,…,-,1,-
2004,은평구,1,1,-,-,1,-
2009,은평구,1,1,-,-,1,-
2010,은평구,1,1,-,-,1,-
2011,은평구,1,1,-,-,1,-
2012,은평구,1,1,-,-,1,-
2013,은평구,1,1,-,-,1,-
2014,은평구,1,…,…,-,1,-
2015,은평구,1,…,…,-,1,-
2016,은평구,2,1,1,-,1,1
2017,은평구,2,1,1,-,1,1
2018,은평구,3,1,2,-,1,2
2019,은평구,2,1,1,-,1,1
