"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,강북구,-,…,…,-,-,-
1994,강북구,-,…,…,-,-,-
1995,강북구,-,…,…,-,-,-
1996,강북구,-,…,…,-,-,-
1997,강북구,-,…,…,-,-,-
1999,강북구,-,…,…,-,-,-
2000,강북구,1,…,…,-,1,-
2001,강북구,-,…,…,-,-,-
2002,강북구,1,…,…,-,1,-
2003,강북구,1,…,…,-,1,-
2004,강북구,1,1,-,-,1,-
2005,강북구,1,1,-,-,1,-
2006,강북구,1,1,-,-,1,-
2007,강북구,1,1,-,-,1,-
2008,강북구,1,1,-,-,1,-
2009,강북구,3,3,-,-,1,2
2010,강북구,3,3,-,-,1,2
2011,강북구,3,3,-,-,1,2
2012,강북구,3,3,-,-,1,2
2013,강북구,3,3,-,-,2,1
2014,강북구,3,…,…,-,2,1
2015,강북구,3,…,…,-,2,1
2016,강북구,3,3,-,-,2,1
2017,강북구,3,3,-,-,2,1
2018,강북구,4,3,1,-,2,2
2019,강북구,4,3,1,-,2,2
