"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2016,합계,389,86,303,22,111,256
2016,종로구,172,10,162,1,26,145
2016,중구,27,10,17,2,18,7
2016,용산구,9,6,3,2,3,4
2016,성동구,8,2,6,-,2,6
2016,광진구,14,3,11,4,8,2
2016,동대문구,1,-,1,-,-,1
2016,중랑구,1,1,-,-,1,-
2016,성북구,7,5,2,-,2,5
2016,강북구,3,3,-,-,2,1
2016,도봉구,5,5,-,-,1,4
2016,노원구,4,3,1,1,2,1
2016,은평구,2,1,1,-,1,1
2016,서대문구,6,1,5,-,4,2
2016,마포구,31,2,29,-,4,27
2016,양천구,3,2,1,-,3,-
2016,강서구,2,1,1,-,1,1
2016,구로구,5,2,3,1,3,1
2016,금천구,5,3,2,-,2,3
2016,영등포구,7,3,4,1,4,2
2016,동작구,1,-,1,-,1,-
2016,관악구,1,1,-,-,1,-
2016,서초구,25,11,14,3,9,13
2016,강남구,32,5,27,2,8,22
2016,송파구,13,3,10,5,3,5
2016,강동구,5,3,2,-,2,3
