"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1994,합계,77,…,…,10,12,55
1994,종로구,31,…,…,2,1,28
1994,중구,8,…,…,2,2,4
1994,용산구,8,…,…,1,4,3
1994,성동구,4,…,…,2,-,2
1994,광진구,-,…,…,-,-,-
1994,동대문구,-,…,…,-,-,-
1994,중랑구,-,…,…,-,-,-
1994,성북구,3,…,…,-,-,3
1994,강북구,-,…,…,-,-,-
1994,도봉구,-,…,…,-,-,-
1994,노원구,1,…,…,-,-,1
1994,은평구,-,…,…,-,-,-
1994,서대문구,3,…,…,-,1,2
1994,마포구,4,…,…,-,-,4
1994,양천구,-,…,…,-,-,-
1994,강서구,-,…,…,-,-,-
1994,구로구,-,…,…,-,-,-
1994,금천구,-,…,…,-,-,-
1994,영등포구,-,…,…,-,-,-
1994,동작구,-,…,…,-,-,-
1994,관악구,-,…,…,-,-,-
1994,서초구,4,…,…,2,1,1
1994,강남구,4,…,…,-,1,3
1994,송파구,7,…,…,1,2,4
1994,강동구,-,…,…,-,-,-
