"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2017,합계,397,86,311,21,112,264
2017,종로구,166,9,157,1,25,140
2017,중구,29,11,18,2,20,7
2017,용산구,9,6,3,2,3,4
2017,성동구,8,2,6,-,2,6
2017,광진구,13,3,10,3,8,2
2017,동대문구,3,-,3,-,-,3
2017,중랑구,1,1,-,-,1,-
2017,성북구,9,5,4,-,2,7
2017,강북구,3,3,-,-,2,1
2017,도봉구,5,4,1,1,3,1
2017,노원구,5,3,2,1,2,2
2017,은평구,2,1,1,-,1,1
2017,서대문구,9,1,8,-,4,5
2017,마포구,30,1,29,-,3,27
2017,양천구,3,2,1,-,3,-
2017,강서구,2,1,1,-,1,1
2017,구로구,6,3,3,1,3,2
2017,금천구,5,3,2,-,2,3
2017,영등포구,7,3,4,1,4,2
2017,동작구,2,-,2,-,1,1
2017,관악구,1,1,-,-,1,-
2017,서초구,29,14,15,3,11,15
2017,강남구,34,5,29,2,8,24
2017,송파구,11,1,10,4,1,6
2017,강동구,5,3,2,-,1,4
