"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,강동구,"116,449","107,836","8,613","117,768","107,338","10,430","93,150","89,235","3,915"
1997,강동구,"129,739","117,308","12,431","127,524","113,873","13,651","99,874","94,269","5,605"
1998,강동구,"126,526","110,457","16,069","125,678","108,889","16,789","99,773","94,406","5,367"
1999,강동구,"139,176","114,941","24,235","141,470","116,495","24,975","109,614","98,225","11,389"
2000,강동구,"159,086","132,388","26,698","160,270","133,774","26,496","117,504","106,621","10,883"
2001,강동구,"175,958","143,423","32,535","182,764","148,381","34,383","139,364","121,587","17,777"
2002,강동구,"184,517","156,046","28,471","187,054","157,994","29,060","138,176","122,993","15,183"
2003,강동구,"237,058","198,678","38,380","246,916","207,245","39,671","175,190","164,991","10,199"
2004,강동구,"256,643","215,797","40,846","264,887","224,617","40,270","174,400","162,089","12,311"
2005,강동구,"254,193","214,383","39,810","257,537","218,309","39,228","189,965","177,285","12,680"
2006,강동구,"271,545","229,745","41,800","283,629","240,786","42,843","211,098","184,051","27,047"
2007,강동구,"283,330","249,238","34,092","322,854","276,161","46,693","222,277","209,570","12,707"
2008,강동구,"361,958","311,053","50,905","360,503","308,025","52,478","264,446","246,411","18,035"
2009,강동구,"413,170","367,146","46,024","419,967","373,691","46,276","336,505","307,126","29,379"
2010,강동구,"369,434","340,430","29,004","363,939","334,701","29,238","313,644","304,835","8,809"
2011,강동구,"360,355","328,646","31,709","355,012","322,795","32,217","307,344","291,266","16,078"
2012,강동구,"377,089","350,253","26,836","375,365","347,681","27,684","331,952","321,231","10,721"
2013,강동구,"422,999","396,492","26,507","423,525","394,965","28,559","373,452","357,030","16,422"
2014,강동구,"457,801","436,785","21,016","460,355","436,225","24,131","406,157","395,905","10,252"
2015,강동구,"513,471","481,143","32,328","532,631","494,727","37,904","439,895","426,830","13,065"
2016,강동구,"602,088","559,647","42,441","616,666","568,291","48,376","500,700","478,339","22,361"
2017,강동구,"681,428","629,939","51,489","697,349","644,984","52,365","558,729","543,890","14,839"
2018,강동구,"749,439","705,811","43,628","860,211","808,159","52,052","618,793","604,293","14,500"
2019,강동구,"896,075","840,587","55,488","929,719","874,444","55,275","756,209","739,606","16,603"
