"('Year',)","('sigName',)","('재정자립도',)"
2000,양천구,51.3
2001,양천구,58.2
2002,양천구,60.4
2003,양천구,42.9
2004,양천구,44.6
2005,양천구,58.2
2006,양천구,59.7
2007,양천구,52.8
2008,양천구,52.9
2009,양천구,50.8
2010,양천구,43.6
2011,양천구,41.1
2012,양천구,39
2013,양천구,35.8
2014,양천구,31.9(29.4)
2015,양천구,28.7(27.3)
2016,양천구,30.6(28.2)
2017,양천구,28.5
2018,양천구,26.8
2019,양천구,24.5
2020,양천구,25.2
