"('Year',)","('sigName',)","('재정자립도',)"
2000,은평구,34.3
2001,은평구,31.2
2002,은평구,31.1
2003,은평구,29.1
2004,은평구,30.9
2005,은평구,35
2006,은평구,30.4
2007,은평구,33
2008,은평구,35
2009,은평구,35.3
2010,은평구,33.8
2011,은평구,29.7
2012,은평구,30.9
2013,은평구,29.2
2014,은평구,24.5(22.1)
2015,은평구,22.0(19.8)
2016,은평구,23.7(20.8)
2017,은평구,19.1
2018,은평구,18
2019,은평구,17.5
2020,은평구,17.9
