"('Year',)","('sigName',)","('재정자립도',)"
2000,중구,95.3
2001,중구,95
2002,중구,93
2003,중구,91.9
2004,중구,92.7
2005,중구,92.5
2006,중구,74.4
2007,중구,83
2008,중구,86
2009,중구,85.7
2010,중구,82.9
2011,중구,77.1
2012,중구,76.9
2013,중구,70.9
2014,중구,71.6(63.5)
2015,중구,65.7(58.6)
2016,중구,65.2(57.1)
2017,중구,58.4
2018,중구,53.4
2019,중구,54.9
2020,중구,53.5
