"('Year',)","('sigName',)","('재정자립도',)"
2014,서울시 평균,84.2(80.0)
2014,본청,82.6(80.4)
2014,자치구 평균,38.5(33.6)
2014,종로구,61.1(55.0)
2014,중구,71.6(63.5)
2014,용산구,51.2(43.1)
2014,성동구,45.0(32.2)
2014,광진구,32.1(30.4)
2014,동대문구,32.9(28.6)
2014,중랑구,25.9(23.1)
2014,성북구,26.8(23.9)
2014,강북구,24.1(20.4)
2014,도봉구,24.9(21.2)
2014,노원구,19.0(17.2)
2014,은평구,24.5(22.1)
2014,서대문구,33.7(28.4)
2014,마포구,42.6(32.8)
2014,양천구,31.9(29.4)
2014,강서구,27.6(23.3)
2014,구로구,30.9(27.1)
2014,금천구,33.7(30.3)
2014,영등포구,49.2(42.4)
2014,동작구,34.4(31.8)
2014,관악구,31.1(25.3)
2014,서초구,69.0(63.0)
2014,강남구,70.3(64.3)
2014,송파구,51.3(44.5)
2014,강동구,34.9(30.4)
