"('Year',)","('sigName',)","('재정자립도',)"
2000,송파구,71.8
2001,송파구,68.4
2002,송파구,67.4
2003,송파구,62.9
2004,송파구,74.1
2005,송파구,83.7
2006,송파구,84.2
2007,송파구,74.9
2008,송파구,70.6
2009,송파구,74.6
2010,송파구,73.9
2011,송파구,61.2
2012,송파구,63.3
2013,송파구,55.1
2014,송파구,51.3(44.5)
2015,송파구,49.3(42.1)
2016,송파구,48.9(42.9)
2017,송파구,42.8
2018,송파구,39
2019,송파구,38.4
2020,송파구,37.6
