"('Year',)","('sigName',)","('재정자립도',)"
2000,용산구,51.9
2001,용산구,51.8
2002,용산구,52.8
2003,용산구,45.9
2004,용산구,53
2005,용산구,55.3
2006,용산구,53.5
2007,용산구,53
2008,용산구,70.2
2009,용산구,60.4
2010,용산구,62.7
2011,용산구,63.8
2012,용산구,61.6
2013,용산구,55.4
2014,용산구,51.2(43.1)
2015,용산구,47.9(40.1)
2016,용산구,47.1(41.0)
2017,용산구,42.4
2018,용산구,41.1
2019,용산구,39.2
2020,용산구,39.3
