"('Year',)","('sigName',)","('재정자립도',)"
2000,중랑구,32.9
2001,중랑구,35.1
2002,중랑구,32
2003,중랑구,30.3
2004,중랑구,30.3
2005,중랑구,31.1
2006,중랑구,29.3
2007,중랑구,29.5
2008,중랑구,30.9
2009,중랑구,30.2
2010,중랑구,30.5
2011,중랑구,31.5
2012,중랑구,30.7
2013,중랑구,28
2014,중랑구,25.9(23.1)
2015,중랑구,23.9(23.2)
2016,중랑구,23.3(21.0)
2017,중랑구,20.6
2018,중랑구,19
2019,중랑구,18.1
2020,중랑구,17.5
