"('Year',)","('sigName',)","('재정자립도',)"
2000,광진구,45.6
2001,광진구,42.3
2002,광진구,39
2003,광진구,37.3
2004,광진구,37.6
2005,광진구,41.6
2006,광진구,44.9
2007,광진구,39.9
2008,광진구,44.6
2009,광진구,47.1
2010,광진구,44
2011,광진구,42.5
2012,광진구,37.7
2013,광진구,34.2
2014,광진구,32.1(30.4)
2015,광진구,30.9(27.4)
2016,광진구,32.3(27.2)
2017,광진구,28.1
2018,광진구,27.1
2019,광진구,26.7
2020,광진구,26.2
