"('Year',)","('sigName',)","('재정자립도',)"
2000,강남구,91.2
2001,강남구,90.8
2002,강남구,87.7
2003,강남구,87.6
2004,강남구,91.4
2005,강남구,89.9
2006,강남구,87.2
2007,강남구,88
2008,강남구,75.5
2009,강남구,79.4
2010,강남구,77.1
2011,강남구,82.8
2012,강남구,80.5
2013,강남구,75.9
2014,강남구,70.3(64.3)
2015,강남구,66.2(60.0)
2016,강남구,65.0(60.0)
2017,강남구,58.2
2018,강남구,53.3
2019,강남구,54.4
2020,강남구,52.3
