"('Year',)","('sigName',)","('재정자립도',)"
2000,강북구,31.6
2001,강북구,30.4
2002,강북구,31.8
2003,강북구,30
2004,강북구,27.9
2005,강북구,29.1
2006,강북구,31.1
2007,강북구,30
2008,강북구,36.2
2009,강북구,35
2010,강북구,31.7
2011,강북구,32.1
2012,강북구,29.6
2013,강북구,26.2
2014,강북구,24.1(20.4)
2015,강북구,21.8(18.6)
2016,강북구,22.8(19.1)
2017,강북구,18.8
2018,강북구,17.6
2019,강북구,16.8
2020,강북구,16.8
