"('Year',)","('sigName',)","('재정자립도',)"
2000,서대문구,39.6
2001,서대문구,39.1
2002,서대문구,42.3
2003,서대문구,38.8
2004,서대문구,39.6
2005,서대문구,43.5
2006,서대문구,43.6
2007,서대문구,40.3
2008,서대문구,45.4
2009,서대문구,41.9
2010,서대문구,38.6
2011,서대문구,40
2012,서대문구,40.8
2013,서대문구,39.2
2014,서대문구,33.7(28.4)
2015,서대문구,30.4(25.7)
2016,서대문구,30.1(26.2)
2017,서대문구,26.6
2018,서대문구,25.4
2019,서대문구,24.1
2020,서대문구,23.4
