"('Year',)","('sigName',)","('재정자립도',)"
2000,금천구,36.8
2001,금천구,37.6
2002,금천구,39.7
2003,금천구,36.2
2004,금천구,32.9
2005,금천구,31.8
2006,금천구,32.9
2007,금천구,33.4
2008,금천구,41.8
2009,금천구,37.4
2010,금천구,37.8
2011,금천구,41
2012,금천구,42.2
2013,금천구,39.1
2014,금천구,33.7(30.3)
2015,금천구,31.6(27.4)
2016,금천구,31.3(26.8)
2017,금천구,27.2
2018,금천구,25.6
2019,금천구,25.3
2020,금천구,24.7
