"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2011,합계,257,87,170,18,93,146
2011,종로구,97,11,86,1,18,78
2011,중구,28,13,15,2,19,7
2011,용산구,5,5,-,2,3,-
2011,성동구,1,1,-,-,1,-
2011,광진구,12,4,8,3,6,3
2011,중랑구,1,1,-,-,1,-
2011,성북구,5,5,-,-,2,3
2011,강북구,3,3,-,-,1,2
2011,도봉구,3,3,-,-,1,2
2011,노원구,4,2,2,1,1,2
2011,은평구,1,1,-,-,1,-
2011,서대문구,5,1,4,-,4,1
2011,마포구,12,2,10,-,1,11
2011,양천구,3,2,1,-,3,-
2011,강서구,1,1,-,-,1,-
2011,구로구,7,2,5,1,4,2
2011,금천구,3,3,-,-,2,1
2011,영등포구,7,2,5,1,4,2
2011,관악구,1,1,-,-,1,-
2011,서초구,16,9,7,2,9,5
2011,강남구,26,7,19,2,6,18
2011,송파구,12,5,7,3,3,6
2011,강동구,4,3,1,-,1,3
