"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,마포구,4,…,…,-,-,4
1994,마포구,4,…,…,-,-,4
1995,마포구,3,…,…,-,-,3
1996,마포구,5,…,…,-,-,5
1997,마포구,5,…,…,-,-,5
1999,마포구,4,…,…,-,-,4
2000,마포구,6,…,…,-,2,4
2001,마포구,3,…,…,-,-,3
2002,마포구,5,…,…,-,1,4
2003,마포구,5,…,…,-,1,4
2004,마포구,5,1,4,-,1,4
2005,마포구,6,1,5,-,1,5
2006,마포구,6,1,5,-,1,5
2007,마포구,6,1,5,-,1,5
2008,마포구,6,1,5,-,1,5
2009,마포구,8,2,6,-,1,7
2010,마포구,9,2,7,1,1,7
2011,마포구,12,2,10,-,1,11
2012,마포구,19,2,17,-,4,15
2013,마포구,28,2,26,-,4,24
2014,마포구,29,…,…,-,4,25
2015,마포구,31,…,…,-,4,27
2016,마포구,31,2,29,-,4,27
2017,마포구,30,1,29,-,3,27
2018,마포구,31,3,28,-,4,27
2019,마포구,31,3,28,-,4,27
