"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,강동구,-,…,…,-,-,-
1994,강동구,-,…,…,-,-,-
1995,강동구,2,…,…,-,2,-
1996,강동구,-,…,…,-,-,-
1997,강동구,-,…,…,-,-,-
1999,강동구,-,…,…,-,-,-
2000,강동구,-,…,…,-,-,-
2001,강동구,1,…,…,-,1,-
2002,강동구,-,…,…,-,-,-
2003,강동구,-,…,…,-,-,-
2007,강동구,1,1,-,-,1,-
2008,강동구,1,1,-,-,1,-
2009,강동구,2,1,1,-,-,2
2010,강동구,2,1,1,-,-,2
2011,강동구,4,3,1,-,1,3
2012,강동구,5,3,2,-,2,3
2013,강동구,5,3,2,-,2,3
2014,강동구,5,…,…,-,2,3
2015,강동구,5,…,…,-,2,3
2016,강동구,5,3,2,-,2,3
2017,강동구,5,3,2,-,1,4
2018,강동구,5,3,2,-,1,4
2019,강동구,5,3,2,-,1,4
