"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,도봉구,-,…,…,-,-,-
1994,도봉구,-,…,…,-,-,-
1995,도봉구,-,…,…,-,-,-
1996,도봉구,-,…,…,-,-,-
1997,도봉구,-,…,…,-,-,-
1999,도봉구,-,…,…,-,-,-
2000,도봉구,-,…,…,-,-,-
2001,도봉구,1,…,…,-,1,-
2002,도봉구,1,…,…,-,1,-
2003,도봉구,-,…,…,-,-,-
2004,도봉구,1,1,-,-,1,-
2005,도봉구,4,4,-,-,2,2
2006,도봉구,4,4,-,-,2,2
2007,도봉구,4,4,-,-,2,2
2008,도봉구,4,4,-,-,2,2
2009,도봉구,4,4,-,-,2,2
2010,도봉구,4,4,-,-,2,2
2011,도봉구,3,3,-,-,1,2
2012,도봉구,3,3,-,-,1,2
2013,도봉구,3,3,-,-,1,2
2014,도봉구,3,…,…,-,1,2
2015,도봉구,4,…,…,-,1,3
2016,도봉구,5,5,-,-,1,4
2017,도봉구,5,4,1,1,3,1
2018,도봉구,5,4,1,-,1,4
2019,도봉구,5,4,1,-,1,4
