"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,중랑구,18.2,4,77.8,22.7
2010,중랑구,26.6,4.1,69.3,23.1
2011,중랑구,26.5,5.3,68.1,23.2
2012,중랑구,24.9,5.3,69.8,23.2
2013,중랑구,24.4,4.6,71,23.1
2014,중랑구,28.4,5.7,65.9,23.3
2015,중랑구,25.8,4.7,69.5,23.2
2016,중랑구,28.3,5.3,66.4,23.4
2017,중랑구,30.3,3.8,65.9,23.6
2018,중랑구,38.8,5.6,55.7,24.1
2019,중랑구,36.2,3.7,60,24.1
