"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,강남구,18.6,8.1,73.3,22.4
2010,강남구,16.3,9.7,74,22.2
2011,강남구,16.1,7.7,76.1,22.4
2012,강남구,19.2,9.4,71.4,22.4
2013,강남구,19.7,7,73.3,22.5
2014,강남구,17.2,9.7,73.1,22.4
2015,강남구,22.6,7.7,69.7,22.7
2016,강남구,20.3,8.9,70.8,22.6
2017,강남구,22.4,7.2,70.4,22.7
2018,강남구,27.6,5.6,66.8,23.3
2019,강남구,28.6,6.4,65,23.3
