"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,용산구,"96,696","294,341","147,914","146,427",…,…,…,…,…,…,"13,460",21.87,3.04,…
1992,용산구,"96,832","287,124","144,600","142,524","280,671","140,424","140,247","6,453","4,176","2,277","13,135",21.86,2.97,"13,957"
1993,용산구,"94,248","276,439","138,562","137,877","271,379","135,727","135,652","5,060","2,835","2,225","12,646",21.86,2.93,"14,392"
1994,용산구,"94,534","268,689","134,290","134,399","264,188","131,830","132,358","4,501","2,460","2,041","12,286",21.87,2.84,"14,860"
1995,용산구,"93,163","260,993","130,403","130,590","254,579","126,809","127,770","6,414","3,594","2,820","11,934",21.87,2.8,"15,125"
1996,용산구,"92,705","255,024","127,321","127,703","247,694","123,294","124,400","7,330","4,027","3,303","11,661",21.87,2.75,"15,400"
1997,용산구,"91,201","245,683","122,648","123,035","238,304","118,601","119,703","7,379","4,047","3,332","11,234",21.87,2.69,"15,767"
1998,용산구,"88,418","246,613","122,746","123,867","239,282","118,709","120,573","7,331","4,037","3,294","11,276",21.87,2.79,"16,584"
1999,용산구,"88,684","245,716","122,288","123,428","237,489","117,775","119,714","8,227","4,513","3,714","11,235",21.87,2.68,"17,267"
2000,용산구,"90,547","248,794","123,677","125,117","240,087","118,935","121,152","8,707","4,742","3,965","11,376",21.87,2.65,"18,103"
2001,용산구,"92,239","250,550","124,586","125,964","241,033","119,405","121,628","9,517","5,181","4,336","11,456",21.87,2.61,"19,142"
2002,용산구,"91,735","245,218","121,976","123,242","234,653","116,242","118,411","10,565","5,734","4,831","11,213",21.87,2.56,"19,845"
2003,용산구,"93,262","240,723","119,302","121,421","231,871","114,602","117,269","8,852","4,700","4,152","11,006",21.87,2.58,"21,055"
2004,용산구,"94,788","239,070","118,215","120,855","230,107","113,512","116,595","8,963","4,703","4,260","10,933",21.87,2.52,"22,063"
2005,용산구,"97,324","240,077","118,268","121,809","230,260","113,158","117,102","9,817","5,110","4,707","10,979",21.87,2.47,"23,183"
2006,용산구,"101,479","243,033","119,739","123,294","232,035","114,041","117,994","10,998","5,698","5,300","11,114",21.87,2.39,"24,397"
2007,용산구,"104,720","248,362","122,454","125,908","235,832","115,865","119,967","12,530","6,589","5,941","11,356",21.87,2.37,"26,039"
2008,용산구,"106,966","251,043","123,551","127,492","238,224","116,781","121,443","12,819","6,770","6,049","11,480",21.87,2.23,"27,167"
2009,용산구,"107,456","251,200","123,528","127,672","238,708","116,954","121,754","12,492","6,574","5,918","11,487",21.87,2.22,"28,167"
2010,용산구,"113,204","257,143","125,832","131,311","244,853","119,482","125,371","12,290","6,350","5,940","11,759",21.87,2.16,"30,996"
2011,용산구,"112,617","259,288","126,735","132,553","246,501","120,183","126,318","12,787","6,552","6,235","11,857",21.87,2.19,"31,837"
2012,용산구,"110,706","255,294","124,708","130,586","243,232","118,461","124,771","12,062","6,247","5,815","11,674",21.87,2.2,"33,027"
2013,용산구,"109,361","251,925","122,974","128,951","239,740","116,491","123,249","12,185","6,483","5,702","11,520",21.87,2.19,"34,017"
2014,용산구,"108,429","249,914","122,047","127,867","235,951","114,578","121,373","13,963","7,469","6,494","11,427",21.87,2.18,"34,896"
2015,용산구,"107,512","247,909","121,027","126,882","233,342","113,177","120,165","14,567","7,850","6,717",-,-,2.17,"35,715"
2016,용산구,"106,607","245,102","119,636","125,466","230,241","111,601","118,640","14,861","8,035","6,826",-,-,2.16,"35,915"
2017,용산구,"107,666","244,444","119,423","125,021","229,161","110,878","118,283","15,283","8,545","6,738",-,-,2.13,"36,882"
2018,용산구,"108,974","245,090","119,766","125,324","228,999","110,640","118,359","16,091","9,126","6,965",-,-,2.1,"37,640"
2019,용산구,"110,126","245,185","119,599","125,586","228,670","110,356","118,314","16,515","9,243","7,272",-,-,2.08,"38,791"
