"('Year',)","('sigName',)","('재정자립도',)"
2000,노원구,36.7
2001,노원구,33.5
2002,노원구,33.2
2003,노원구,30.1
2004,노원구,29.5
2005,노원구,30.7
2006,노원구,32
2007,노원구,28.8
2008,노원구,29.1
2009,노원구,29.2
2010,노원구,27.4
2011,노원구,27.7
2012,노원구,22.7
2013,노원구,22.3
2014,노원구,19.0(17.2)
2015,노원구,17.5(15.9)
2016,노원구,19.2(17.7)
2017,노원구,17.8
2018,노원구,15.6
2019,노원구,15.4
2020,노원구,15.8
