"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,도봉구,"221,001","744,880","373,908","370,972",…,…,…,…,…,…,"16,721",44.55,3.37,…
1992,도봉구,"229,923","766,799","385,385","381,414","765,975","385,011","380,964",824,374,450,"17,212",44.55,3.34,"29,689"
1993,도봉구,"238,014","780,472","392,106","388,366","779,610","391,700","387,910",862,406,456,"17,519",44.55,3.28,"30,874"
1994,도봉구,"240,545","775,394","389,155","386,239","774,414","388,690","385,724",980,465,515,"17,432",44.48,3.22,"31,989"
1995,도봉구,"117,150","374,271","188,030","186,241","373,630","187,722","185,908",641,308,333,"17,942",20.86,3.19,"15,637"
1996,도봉구,"119,881","382,424","191,956","190,468","381,465","191,531","189,934",959,425,534,"18,350",20.84,3.19,"16,304"
1997,도봉구,"123,055","388,620","194,957","193,663","387,808","194,627","193,181",812,330,482,"18,657",20.83,3.16,"17,372"
1998,도봉구,"119,744","381,602","191,276","190,326","380,844","190,969","189,875",758,307,451,"18,329",20.82,3.19,"18,005"
1999,도봉구,"119,418","376,133","188,468","187,665","375,275","188,130","187,145",858,338,520,"18,066",20.82,3.14,"18,735"
2000,도봉구,"118,807","371,932","186,372","185,560","370,976","186,009","184,967",956,363,593,"17,873",20.81,3.12,"19,673"
2001,도봉구,"119,856","372,318","186,441","185,877","371,259","186,049","185,210","1,059",392,667,"17,900",20.8,3.1,"20,869"
2002,도봉구,"122,201","373,086","186,496","186,590","371,911","186,078","185,833","1,175",418,757,"17,937",20.8,3.04,"22,204"
2003,도봉구,"127,264","378,166","188,711","189,455","376,599","188,073","188,526","1,567",638,929,"18,181",20.8,2.97,"23,997"
2004,도봉구,"131,129","383,611","190,892","192,719","381,939","190,240","191,699","1,672",652,"1,020","18,444",20.8,2.93,"26,190"
2005,도봉구,"134,308","383,448","190,512","192,936","381,529","189,766","191,763","1,919",746,"1,173","18,436",20.8,2.85,"28,009"
2006,도봉구,"136,003","379,755","188,320","191,435","377,534","187,442","190,092","2,221",878,"1,343","18,341",20.7,2.79,"30,261"
2007,도봉구,"138,156","378,559","187,454","191,105","375,975","186,424","189,551","2,584","1,030","1,554","18,288",20.7,2.74,"32,780"
2008,도봉구,"139,733","376,698","186,476","190,222","373,936","185,376","188,560","2,762","1,100","1,662","18,196",20.7,2.68,"34,750"
2009,도봉구,"139,010","372,398","184,019","188,379","369,733","182,985","186,748","2,665","1,034","1,631","17,988",20.7,2.66,"36,245"
2010,도봉구,"140,603","370,734","183,283","187,451","368,298","182,407","185,891","2,436",876,"1,560","17,908",20.7,2.62,"38,214"
2011,도봉구,"139,348","367,949","181,911","186,038","365,573","181,004","184,569","2,376",907,"1,469","17,774",20.7,2.62,"39,810"
2012,도봉구,"138,036","364,454","180,023","184,431","362,270","179,194","183,076","2,184",829,"1,355","17,605",20.7,2.62,"42,267"
2013,도봉구,"137,714","360,609","177,925","182,684","358,582","177,153","181,429","2,027",772,"1,255","17,418",20.7,2.6,"44,469"
2014,도봉구,"136,977","355,712","175,306","180,406","353,709","174,554","179,155","2,003",752,"1,251","17,184",20.7,2.58,"46,471"
2015,도봉구,"136,903","353,241","173,804","179,437","351,242","173,029","178,213","1,999",775,"1,224",-,-,2.57,"48,590"
2016,도봉구,"136,898","350,272","172,006","178,266","348,220","171,238","176,982","2,052",768,"1,284",-,-,2.54,"50,510"
2017,도봉구,"137,378","346,234","169,553","176,681","344,166","168,759","175,407","2,068",794,"1,274",-,-,2.51,"53,488"
2018,도봉구,"138,087","341,649","167,043","174,606","339,413","166,160","173,253","2,236",883,"1,353",-,-,2.46,"55,964"
2019,도봉구,"138,508","335,631","163,961","171,670","333,362","163,051","170,311","2,269",910,"1,359",-,-,2.41,"58,714"
