,소분류,DONG,자치구,사업체수
179,1112058,대조동,은평구,24
180,1112059,응암1동,은평구,1661
181,1112060,응암2동,은평구,7
182,1112065,신사1동,은평구,1347
183,1112066,신사2동,은평구,14
184,1112067,증산동,은평구,945
185,1112068,수색동,은평구,514
186,1112071,진관동,은평구,1894
187,1112072,불광2동,은평구,1295
188,1112073,응암3동,은평구,1768
189,1112074,역촌동,은평구,2534
190,1113052,천연동,서대문구,915
191,1113062,홍제1동,서대문구,1154
192,1113064,홍제3동,서대문구,1157
193,1113065,홍제2동,서대문구,594
194,1113066,홍은1동,서대문구,999
195,1113068,홍은2동,서대문구,1219
196,1113069,남가좌1동,서대문구,691
197,1113070,남가좌2동,서대문구,13
198,1113071,북가좌1동,서대문구,681
199,1113072,북가좌2동,서대문구,2443
200,1113073,충현동,서대문구,1817
201,1113074,북아현동,서대문구,862
202,1113075,신촌동,서대문구,31
203,1113076,연희동,서대문구,2352
204,1114059,용강동,마포구,2566
205,1114060,대흥동,마포구,1571
206,1114061,염리동,마포구,726
207,1114063,신수동,마포구,19
208,1114066,서교동,마포구,9552
209,1114068,합정동,마포구,2397
210,1114069,망원1동,마포구,1899
211,1114070,망원2동,마포구,1348
212,1114071,연남동,마포구,1915
213,1114072,성산1동,마포구,1534
214,1114073,성산2동,마포구,1757
215,1114074,상암동,마포구,2531
216,1114075,도화동,마포구,282
217,1114076,서강동,마포구,1828
218,1114077,공덕동,마포구,2756
219,1114078,아현동,마포구,1619
220,1115051,목1동,양천구,2872
221,1115052,목2동,양천구,1196
222,1115053,목3동,양천구,1282
223,1115054,목4동,양천구,1347
224,1115057,신월1동,양천구,1765
225,1115058,신월2동,양천구,1175
226,1115059,신월3동,양천구,958
227,1115060,신월4동,양천구,1166
228,1115061,신월5동,양천구,994
229,1115062,신월6동,양천구,1336
230,1115063,신월7동,양천구,1324
231,1115064,신정1동,양천구,1175
232,1115065,신정2동,양천구,191
233,1115066,신정3동,양천구,1814
234,1115069,신정6동,양천구,714
235,1115070,신정7동,양천구,1
236,1115071,목5동,양천구,1565
237,1115072,신정4동,양천구,3
238,1116051,염창동,강서구,21
239,1116052,등촌1동,강서구,1812
240,1116053,등촌2동,강서구,737
241,1116054,등촌3동,강서구,2533
242,1116055,화곡본동,강서구,1389
243,1116057,화곡2동,강서구,855
244,1116058,화곡3동,강서구,1222
245,1116059,화곡4동,강서구,1469
246,1116061,화곡6동,강서구,1749
247,1116063,화곡8동,강서구,1275
248,1116064,가양1동,강서구,57
249,1116065,가양2동,강서구,633
250,1116066,가양3동,강서구,4
251,1116067,발산1동,강서구,3375
252,1116069,공항동,강서구,2
253,1116070,방화1동,강서구,2621
254,1116071,방화2동,강서구,3279
255,1116072,방화3동,강서구,893
256,1116073,화곡1동,강서구,348
257,1116074,우장산동,강서구,1664
258,1117051,신도림동,구로구,2784
259,1117052,구로1동,구로구,728
260,1117054,구로3동,구로구,7883
261,1117055,구로4동,구로구,2133
262,1117056,구로5동,구로구,4477
263,1117061,고척1동,구로구,2541
264,1117062,고척2동,구로구,14
265,1117064,개봉2동,구로구,1212
266,1117065,개봉3동,구로구,1
267,1117067,오류1동,구로구,1187
268,1117069,수궁동,구로구,1258
