Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1995,강북구,273,836,2,418,2,120,148,298,-,-,75,-,-,-,46,-,-,-,-,-,-,-,,,,,,,,,,
1996,강북구,269,865,2,418,2,134,141,293,-,-,77,20,-,-,47,-,-,-,-,-,-,-,,,,,,,,,,
1997,강북구,265,"1,003",1,294,4,420,139,289,-,-,75,-,-,-,46,-,-,-,-,-,-,-,,,,,,,,,,
1998,강북구,272,"1,075",1,294,5,432,145,349,-,-,77,-,-,-,44,-,-,-,-,-,-,-,,,,,,,,,,
1999,강북구,287,"1,066",1,294,5,423,155,349,-,-,78,-,-,-,48,-,-,-,-,-,-,-,,,,,,,,,,
2000,강북구,291,"1,293",1,294,6,477,159,522,-,-,74,-,-,-,51,-,-,-,-,-,-,-,,,,,,,,,,
2001,강북구,328,"1,347",1,194,5,425,187,698,-,-,77,-,-,-,58,30,-,-,-,-,-,-,,,,,,,,,,
2002,강북구,362,"1,362",1,194,5,475,207,663,-,-,85,-,-,-,64,30,-,-,-,-,-,-,,,,,,,,,,
2003,강북구,375,"1,360",1,194,5,475,217,661,-,-,84,-,-,-,68,30,-,-,-,-,-,-,,,,,,,,,,
2004,강북구,372,"1,618",1,194,6,542,207,849,-,-,89,-,-,-,1,30,68,3,-,-,-,-,,,,,,,,,,
2005,강북구,387,"1,657",1,194,6,540,216,890,-,-,97,-,-,-,1,30,66,3,-,-,-,-,,,,,,,,,,
2006,강북구,394,"1,625",1,194,6,540,216,858,-,-,2,-,96,-,1,30,72,3,-,-,-,-,,,,,,,,,,
2007,강북구,400,"1,897",1,214,6,528,216,855,2,131,2,-,95,-,1,30,75,3,-,-,2,136,,,,,,,,,,
2008,강북구,398,"1,951",1,214,7,589,211,831,2,148,2,-,96,-,1,30,76,3,-,-,2,136,,,,,,,,,,
2009,강북구,412,"1,955",1,214,7,592,214,834,2,148,2,-,99,-,1,30,84,3,-,-,2,134,,,,,,,,,,
2010,강북구,416,"2,136",1,214,8,823,214,726,2,183,1,-,100,-,1,30,87,17,,,,,-,-,2,143,-,-,-,-,-,-
2011,강북구,425,"2,232",1,214,9,946,214,715,2,209,1,-,107,-,-,-,89,5,,,,,-,-,2,143,-,-,-,-,-,-
2012,강북구,425,"2,242",1,214,9,918,213,602,2,216,1,-,106,-,-,-,90,2,,,,,-,-,2,143,-,-,1,147,-,-
2013,강북구,420,"2,247",1,214,10,"1,046",208,562,2,282,1,-,108,-,-,-,88,-,,,,,-,-,2,143,-,-,-,-,-,-
2014,강북구,424,"2,170",1,214,9,934,211,579,2,282,1,-,110,-,-,-,88,18,,,,,-,-,2,143,-,-,-,-,-,-
2015,강북구,453,"1,952",1,208,8,795,227,498,2,282,1,-,119,3,-,-,93,18,,,,,-,-,2,148,-,-,-,-,-,-
2016,강북구,438,"2,058",1,208,8,791,217,440,3,450,1,-,118,3,-,-,88,18,,,,,-,-,2,148,-,-,-,-,-,-
2017,강북구,447,"2,040",1,203,8,802,221,403,3,447,1,-,118,1,-,-,93,36,,,,,-,-,2,148,-,-,-,-,-,-
2018,강북구,450,"2,205",1,201,8,766,223,446,6,755,1,-,118,1,-,-,93,36,,,,,-,-,-,-,-,-,-,-,-,-
2019,강북구,461,"2,233",1,201,8,736,225,389,6,870,1,-,124,1,-,-,96,36,,,,,-,-,-,-,-,-,-,-,-,-
