Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1988,서초구,318,…,2,"1,193",3,352,158,…,-,-,110,…,-,-,45,…,-,-,-,…,-,…,,,,,,,,,,
1989,서초구,333,…,1,769,2,310,161,…,-,-,119,…,-,-,50,…,-,-,-,…,-,…,,,,,,,,,,
1990,서초구,370,…,1,769,2,310,172,…,-,-,139,…,-,-,56,…,-,-,-,…,-,…,,,,,,,,,,
1991,서초구,412,…,1,769,2,310,196,-,-,-,148,…,-,-,65,…,-,-,-,…,-,…,,,,,,,,,,
1992,서초구,453,…,1,834,2,310,209,…,-,-,169,…,-,-,72,…,-,-,-,…,-,-,,,,,,,,,,
1993,서초구,466,"1,442",1,834,3,467,213,63,-,-,170,-,-,-,79,78,-,-,-,-,-,-,,,,,,,,,,
1994,서초구,500,"1,625",2,"1,034",4,439,230,74,-,-,183,-,-,-,81,78,-,-,-,-,-,-,,,,,,,,,,
1995,서초구,508,"1,801",2,"1,034",4,439,231,250,-,-,187,-,-,-,84,78,-,-,-,-,-,-,,,,,,,,,,
1996,서초구,513,"2,139",3,"1,284",4,448,232,255,-,-,189,-,-,-,85,152,-,-,-,-,-,-,,,,,,,,,,
1997,서초구,524,"3,630",4,"2,733",4,448,232,297,-,-,195,-,-,-,89,152,-,-,-,-,-,-,,,,,,,,,,
1998,서초구,535,"2,213",3,"1,284",4,448,240,329,-,-,201,-,-,-,87,152,-,-,-,-,-,-,,,,,,,,,,
1999,서초구,525,"2,283",3,"1,284",5,270,232,297,-,-,195,-,-,-,89,182,-,-,-,-,1,250,,,,,,,,,,
2000,서초구,613,"2,345",3,"1,283",5,520,276,360,-,-,216,-,-,-,113,182,-,-,-,-,-,-,,,,,,,,,,
2001,서초구,655,"2,236",3,"1,274",4,450,314,350,-,-,220,-,-,-,114,162,-,-,-,-,-,-,,,,,,,,,,
2002,서초구,723,"2,069",1,828,5,708,337,321,-,-,247,-,-,-,133,212,-,-,-,-,-,-,,,,,,,,,,
2003,서초구,753,"2,281",1,828,8,932,330,289,-,-,237,-,-,-,177,232,-,-,-,-,-,-,,,,,,,,,,
2004,서초구,770,"2,527",1,828,7,904,352,396,1,171,252,-,-,-,4,228,153,-,-,-,-,-,,,,,,,,,,
2005,서초구,783,"2,169",1,828,8,932,370,289,1,120,237,-,-,-,5,-,161,-,-,-,-,-,,,,,,,,,,
2006,서초구,875,"2,458",1,828,8,889,397,333,1,160,8,6,259,-,5,242,196,-,-,-,-,-,,,,,,,,,,
2007,서초구,989,"2,544",1,851,8,"1,038",431,426,1,51,9,6,271,-,4,172,264,-,-,-,-,-,,,,,,,,,,
2008,서초구,977,"2,378",1,860,7,780,451,450,2,143,8,7,282,-,3,138,223,-,-,-,-,-,,,,,,,,,,
2009,서초구,"1,033","2,818",1,"1,150",7,925,469,427,3,165,9,6,299,7,3,138,242,-,-,-,-,-,,,,,,,,,,
2010,서초구,"1,088","2,685",1,"1,156",6,719,504,434,3,202,9,6,311,-,4,168,247,-,,,,,2,-,-,-,-,-,-,-,1,-
2011,서초구,"1,145","2,831",1,"1,322",6,695,533,472,2,158,10,6,320,10,4,168,267,-,,,,,2,-,-,-,-,-,-,-,-,-
2012,서초구,"1,139","3,027",1,"1,332",7,829,546,520,2,162,8,6,317,10,4,168,253,-,,,,,1,-,-,-,-,-,-,-,-,-
2013,서초구,"1,172","3,132",1,"1,335",8,897,558,554,2,162,8,6,326,10,4,168,264,-,,,,,1,-,-,-,-,-,-,-,-,-
2014,서초구,"1,184","3,160",1,"1,355",8,898,569,535,2,162,7,6,323,6,5,198,268,-,,,,,1,-,-,-,-,-,-,-,-,-
2015,서초구,"1,209","3,173",1,"1,356",10,920,577,489,2,198,7,1,320,6,5,198,280,5,,,,,7,-,-,-,-,-,-,-,-,-
2016,서초구,"1,216","3,300",1,"1,356",10,959,590,417,3,364,7,-,313,6,5,193,280,5,,,,,7,-,-,-,-,-,-,-,-,-
2017,서초구,"1,229","3,543",1,"1,356",10,955,603,359,4,568,6,-,319,16,5,279,275,10,,,,,6,-,-,-,-,-,-,-,-,-
2018,서초구,"1,201","3,501",1,"1,356",11,948,600,324,4,571,5,-,309,8,5,289,260,5,,,,,6,-,-,-,-,-,-,-,-,-
2019,서초구,"1,226","3,613",1,"1,356",12,975,626,300,4,582,5,-,313,8,6,381,252,11,,,,,6,-,-,-,-,-,-,-,1,-
