Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,동작구,174,…,-,…,3,…,76,…,-,…,-,…,43,…,-,…,43,-,9,…,-,-,,,,,,,,,,
1981,동작구,176,…,-,-,3,147,78,…,-,-,43,…,-,-,44,…,-,-,8,…,-,…,,,,,,,,,,
1982,동작구,183,…,-,-,4,179,82,…,-,-,45,…,-,-,44,…,-,-,8,…,-,…,,,,,,,,,,
1983,동작구,185,…,-,-,4,209,82,…,-,-,44,…,-,-,46,…,-,-,9,…,-,…,,,,,,,,,,
1984,동작구,200,…,-,-,5,246,96,…,-,-,46,…,-,-,46,…,-,-,7,…,-,…,,,,,,,,,,
1985,동작구,206,…,-,-,5,246,102,…,-,-,46,…,-,-,47,…,-,-,6,-,-,…,,,,,,,,,,
1986,동작구,218,…,-,-,5,246,110,…,-,-,50,…,-,-,48,…,-,-,5,…,-,…,,,,,,,,,,
1987,동작구,232,…,-,-,5,246,119,…,-,-,54,…,-,-,49,…,-,-,5,…,-,…,,,,,,,,,,
1988,동작구,231,…,-,-,4,214,116,…,-,-,56,…,-,-,51,…,-,-,4,…,-,…,,,,,,,,,,
1989,동작구,243,…,-,-,4,214,125,…,-,-,57,…,-,-,53,…,-,-,4,…,-,…,,,,,,,,,,
1990,동작구,256,…,-,-,4,214,135,…,-,-,58,…,-,-,55,…,-,-,4,…,-,…,,,,,,,,,,
1991,동작구,278,…,1,300,2,105,144,-,-,-,71,…,-,-,57,…,-,-,3,…,-,…,,,,,,,,,,
1992,동작구,281,…,1,405,2,105,142,…,-,-,73,…,-,-,60,…,-,-,3,…,-,-,,,,,,,,,,
1993,동작구,293,589,1,405,2,105,146,76,-,-,77,-,-,-,66,-,-,-,1,3,-,-,,,,,,,,,,
1994,동작구,314,590,1,405,2,105,153,79,-,-,86,-,-,-,71,-,-,-,1,1,-,-,,,,,,,,,,
