,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude,usage_on,usage_off
34,235,2,문래,서울특별시 영등포구 당산로 지하 28 (문래동3가),서울특별시 영등포구 당산로 지하 28 ,서울특별시 영등포구 문래역,37.51868,126.89472,552108,564646
35,236,2,영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가),서울특별시 영등포구 당산로 지하 121 ,서울특별시 영등포구 영등포구청역,37.5253151,126.8965366,602528,611467
36,237,2,당산,서울특별시 영등포구 당산로 229 (당산동 6가),서울특별시 영등포구 당산로 229 ,서울특별시 영등포구 당산역,37.53264,126.90394,505706,581945
37,238,2,합정,서울특별시 마포구 양화로 지하 55 (서교동),서울특별시 마포구 양화로 지하 55 ,서울특별시 마포구 합정역,37.5505421,126.915014,829872,873910
38,239,2,홍대입구,서울특별시 마포구 양화로 지하160 (동교동),서울특별시 마포구 양화로 지하160 ,서울특별시 마포구 홍대입구역,37.5567526,126.9237729,1465133,1527891
39,240,2,신촌,서울특별시 마포구 신촌로 지하 90 (노고산동),서울특별시 마포구 신촌로 지하 90 ,서울특별시 마포구 신촌역,37.5551517,126.9369084,889706,907592
40,241,2,이대,서울특별시 마포구 신촌로 지하 180 (염리동),서울특별시 마포구 신촌로 지하 180 ,서울특별시 마포구 이대역,37.5567403,126.9458406,342455,357736
41,242,2,아현,서울특별시 마포구 신촌로 지하 270 (아현동),서울특별시 마포구 신촌로 지하 270 ,서울특별시 마포구 아현역,37.55713,126.95724,282605,274303
42,243,2,충정로,서울특별시 서대문구 서소문로 지하 17 (충정로3가),서울특별시 서대문구 서소문로 지하 17 ,서울특별시 서대문구 충정로역,37.56155,126.9634,261625,274248
43,244,2,용답,서울특별시 성동구 용답길 86 (용답동),서울특별시 성동구 용답길 86 ,서울특별시 성동구 용답역,37.56209,127.0508609,74245,74608
44,245,2,신답,서울특별시 성동구 천호대로 232 (용답동),서울특별시 성동구 천호대로 232 ,서울특별시 성동구 신답역,37.57012,127.04754,42535,48518
45,246,2,신설동,서울특별시 동대문구 왕산로 지하 1 (신설동),서울특별시 동대문구 왕산로 지하 1 ,서울특별시 동대문구 신설동역,37.57614,127.02563,94624,93861
46,247,2,도림천,서울특별시 구로구 경인로 67길 160 (신도림동),서울특별시 구로구 경인로 67길 160 ,서울특별시 구로구 도림천역,37.5144539,126.882684,37405,38860
47,248,2,양천구청,서울특별시 양천구 목동로3길 지하 33(신정동),서울특별시 양천구 목동로3길 지하 33,서울특별시 양천구 양천구청역,37.5127668,126.866457,180974,191148
48,249,2,신정네거리,서울특별시 양천구 중앙로 지하 261 (신정동),서울특별시 양천구 중앙로 지하 261 ,서울특별시 양천구 신정네거리역,37.52201,126.8507,277864,287332
49,250,2,용두,서울특별시 동대문구 천호대로 지하 129,서울특별시 동대문구 천호대로 지하 129,서울특별시 동대문구 용두역,37.57389,127.03716,63088,65480
