"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,마포구,-,-,-
2000,마포구,-,-,-
2001,마포구,-,-,-
2002,마포구,-,-,-
2003,마포구,-,-,-
2004,마포구,411,3.86,26.84
2005,마포구,418,4.02,27.92
2006,마포구,418,4.02,27.94
2007,마포구,418,4.02,27.9
2008,마포구,419,4.02,27.97
2009,마포구,419,4.03,28
2010,마포구,419,4.03,28
2011,마포구,420,4.04,28.08
2012,마포구,420,4.04,28.11
2013,마포구,420,4.04,28.11
2014,마포구,420,4.04,28.13
2015,마포구,420,4.05,28.2
2016,마포구,420,4.06,28.23
2017,마포구,420,4.06,28.23
2018,마포구,420,4.06,28.23
2019,마포구,421,4.08,28.37
