"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,성북구,"129,301","120,781","8,520","131,951","122,678","9,273","108,313","104,493","3,820"
1997,성북구,"153,729","141,009","12,720","146,557","133,729","12,828","128,616","120,520","8,096"
1998,성북구,"147,253","140,495","6,758","147,487","136,867","10,620","129,476","122,933","6,543"
1999,성북구,"163,876","158,229","5,647","166,887","161,090","5,797","136,701","131,314","5,387"
2000,성북구,"182,771","176,152","6,619","187,740","181,073","6,667","149,495","143,260","6,235"
2001,성북구,"192,591","173,302","19,289","198,224","182,394","15,830","168,634","155,763","12,871"
2002,성북구,"199,106","187,132","11,974","207,710","196,447","11,263","158,873","150,301","8,572"
2003,성북구,"255,846","242,805","13,041","272,797","259,416","13,381","207,834","200,252","7,582"
2004,성북구,"268,923","251,367","17,556","288,299","271,581","16,718","223,999","215,270","8,729"
2005,성북구,"262,820","244,913","17,907","276,893","259,193","17,700","223,115","216,346","6,769"
2006,성북구,"266,735","248,152","18,583","277,172","259,387","17,785","227,420","223,042","4,378"
2007,성북구,"301,743","279,259","22,484","323,519","302,320","21,199","252,989","245,736","7,253"
2008,성북구,"372,543","351,116","21,427","376,134","355,373","20,761","309,826","304,468","5,358"
2009,성북구,"437,709","416,908","20,801","443,157","422,925","20,232","382,464","376,553","5,911"
2010,성북구,"406,077","383,682","22,395","405,929","382,979","22,950","358,071","352,237","5,833"
2011,성북구,"388,162","363,153","25,009","390,420","365,517","24,903","340,289","335,387","4,902"
2012,성북구,"424,495","398,340","26,155","424,471","397,935","26,536","377,307","368,579","8,728"
2013,성북구,"469,618","446,305","23,313","467,649","443,495","24,154","413,457","408,911","4,546"
2014,성북구,"513,187","489,562","23,625","522,450","496,335","26,116","474,592","462,474","12,118"
2015,성북구,"561,629","541,266","20,363","573,589","550,462","23,127","502,378","495,394","6,984"
2016,성북구,"620,443","597,996","22,447","643,555","620,613","22,941","542,635","532,950","9,685"
2017,성북구,"681,930","662,219","19,711","719,637","700,132","19,505","592,246","584,250","7,996"
2018,성북구,"773,886","753,061","20,825","797,323","778,164","19,159","644,686","631,364","13,323"
2019,성북구,"872,111","845,587","26,524","910,127","882,985","27,143","741,696","732,530","9,166"
