"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,강동구,21.7,6.9,71.4,22.7
2010,강동구,21.1,6,72.9,22.7
2011,강동구,23.7,5.9,70.4,23
2012,강동구,23.8,4.6,71.6,22.9
2013,강동구,22.7,5,72.3,22.9
2014,강동구,25.1,5.9,69,23.1
2015,강동구,24,5.7,70.3,23
2016,강동구,30.9,6,63.1,23.6
2017,강동구,24.2,4.4,71.4,23.2
2018,강동구,32.7,3.8,63.5,23.8
2019,강동구,31.3,5.5,63.2,23.7
