"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,용산구,19.5,6,74.5,22.7
2010,용산구,17.7,5.1,77.2,22.7
2011,용산구,22.6,7.2,70.2,22.9
2012,용산구,27.7,4.9,67.5,23.1
2013,용산구,22.5,6.9,70.7,22.8
2014,용산구,25,6.9,68.1,23
2015,용산구,24.7,5.6,69.7,23.1
2016,용산구,24,7.7,68.3,23
2017,용산구,25.8,5.9,68.3,23.1
2018,용산구,30.2,1.1,68.7,23.8
2019,용산구,26.5,3.8,69.7,23.5
