Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,관악구,175,…,-,…,4,…,87,…,-,…,-,…,41,…,-,…,33,-,10,…,-,-,,,,,,,,,,
1981,관악구,193,…,-,-,4,182,93,…,-,-,44,…,-,-,41,…,-,-,11,…,-,…,,,,,,,,,,
1982,관악구,198,…,-,-,3,156,100,…,-,-,48,…,-,-,37,…,-,-,10,…,-,…,,,,,,,,,,
1983,관악구,213,…,-,-,3,183,114,…,-,-,46,…,-,-,40,…,-,-,10,…,-,…,,,,,,,,,,
1984,관악구,224,…,-,-,4,204,126,…,-,-,45,…,-,-,41,…,-,-,8,…,-,…,,,,,,,,,,
1985,관악구,243,…,-,-,6,298,133,…,-,-,49,…,-,-,45,…,-,-,10,-,-,…,,,,,,,,,,
1986,관악구,250,…,-,-,6,287,141,…,-,-,53,…,-,-,42,…,-,-,8,…,-,…,,,,,,,,,,
1987,관악구,271,…,-,-,6,287,154,…,-,-,59,…,-,-,44,…,-,-,8,…,-,…,,,,,,,,,,
1988,관악구,280,…,-,-,7,319,154,…,-,-,61,…,-,-,50,…,-,-,8,…,-,…,,,,,,,,,,
1989,관악구,295,…,-,-,7,319,161,…,-,-,66,…,-,-,54,…,-,-,7,…,-,…,,,,,,,,,,
1990,관악구,307,…,-,-,7,319,165,…,-,-,71,…,-,-,58,…,-,-,6,…,-,…,,,,,,,,,,
1991,관악구,323,…,-,-,7,359,176,-,-,-,77,…,-,-,59,…,-,-,4,…,-,…,,,,,,,,,,
1992,관악구,341,…,-,-,7,359,181,…,-,-,87,…,-,-,62,…,-,-,4,…,-,-,,,,,,,,,,
1993,관악구,355,709,-,-,6,322,183,364,-,-,92,-,-,-,71,20,-,-,3,3,-,-,,,,,,,,,,
1994,관악구,352,748,-,-,6,333,182,393,-,-,96,-,-,-,66,20,-,-,2,2,-,-,,,,,,,,,,
1995,관악구,352,961,1,146,6,398,174,395,-,-,100,-,-,-,69,20,-,-,2,2,-,-,,,,,,,,,,
1996,관악구,360,909,1,146,5,367,176,395,-,-,109,-,-,-,68,-,-,-,1,1,-,-,,,,,,,,,,
1997,관악구,363,"2,075",3,"1,284",4,348,178,442,-,-,111,-,-,-,66,-,-,-,1,1,-,-,,,,,,,,,,
1998,관악구,379,"1,016",1,177,4,337,189,500,-,-,115,-,-,-,69,-,-,-,1,2,-,-,,,,,,,,,,
1999,관악구,413,"1,031",1,177,4,307,204,546,-,-,125,-,-,-,78,-,-,-,1,1,-,-,,,,,,,,,,
2000,관악구,438,"1,095",1,177,4,337,222,578,-,-,128,-,-,-,82,-,-,-,1,3,-,-,,,,,,,,,,
2001,관악구,476,"1,174",1,177,4,337,248,660,-,-,133,-,-,-,90,-,-,-,-,-,-,-,,,,,,,,,,
2002,관악구,536,"1,255",1,169,4,259,278,827,-,-,151,-,-,-,102,-,-,-,-,-,-,-,,,,,,,,,,
2003,관악구,539,"1,329",1,169,5,304,274,856,-,-,154,-,-,-,105,-,-,-,-,-,-,-,,,,,,,,,,
2004,관악구,557,"1,521",1,202,5,382,273,918,-,-,160,-,-,-,-,-,118,19,-,-,-,-,,,,,,,,,,
2005,관악구,572,"1,563",1,202,6,382,282,979,-,-,164,-,-,-,-,-,119,-,-,-,-,-,,,,,,,,,,
2006,관악구,598,"1,921",1,190,6,522,296,"1,150",1,40,-,-,167,-,-,-,127,19,-,-,-,-,,,,,,,,,,
