Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,강동구,161,…,-,…,-,…,96,…,-,…,-,…,41,…,-,…,20,-,4,…,-,-,,,,,,,,,,
1981,강동구,213,…,-,-,1,50,128,…,-,-,52,…,-,-,27,…,-,-,5,…,-,…,,,,,,,,,,
1982,강동구,246,…,-,-,3,173,144,…,-,-,65,…,-,-,26,…,-,-,8,…,-,…,,,,,,,,,,
1983,강동구,306,…,2,437,5,269,179,…,-,-,81,…,-,-,32,…,-,-,7,…,-,…,,,,,,,,,,
1984,강동구,376,…,3,522,5,287,219,…,-,-,100,…,-,-,42,…,-,-,7,…,-,…,,,,,,,,,,
1985,강동구,410,…,6,905,4,186,234,…,-,-,114,…,-,-,43,…,-,-,9,-,-,…,,,,,,,,,,
1986,강동구,436,…,7,"1,651",4,183,246,…,-,-,118,…,-,-,56,…,-,-,5,…,-,…,,,,,,,,,,
1987,강동구,485,…,7,"1,651",3,153,272,…,-,-,132,…,-,-,66,…,-,-,5,…,-,…,,,,,,,,,,
1988,강동구,274,…,5,"1,475",3,153,153,…,-,-,71,…,-,-,38,…,-,-,4,…,-,…,,,,,,,,,,
1989,강동구,294,…,5,"1,475",3,156,156,…,-,-,82,…,-,-,46,…,-,-,2,…,-,…,,,,,,,,,,
1990,강동구,332,…,5,"1,475",3,156,175,…,-,-,96,…,-,-,51,…,-,-,2,…,-,…,,,,,,,,,,
1991,강동구,354,…,6,"1,592",2,121,191,-,-,-,104,…,-,-,50,…,-,-,1,…,-,…,,,,,,,,,,
1992,강동구,369,…,6,"1,983",2,121,195,…,-,-,110,…,-,-,55,…,-,-,1,…,-,-,,,,,,,,,,
1993,강동구,383,"2,310",6,"1,983",2,148,200,177,-,-,116,-,-,-,58,-,-,-,1,2,-,-,,,,,,,,,,
1994,강동구,399,"2,540",5,"1,913",3,193,208,404,-,-,116,-,-,-,67,30,-,-,-,-,-,-,,,,,,,,,,
1995,강동구,398,"2,563",5,"1,913",3,193,198,427,-,-,121,-,-,-,71,30,-,-,-,-,-,-,,,,,,,,,,
1996,강동구,407,"2,547",4,"1,801",4,282,198,414,-,-,126,-,-,-,75,50,-,-,-,-,-,-,,,,,,,,,,
1997,강동구,401,890,-,-,5,402,198,438,-,-,124,-,-,-,74,50,-,-,-,-,-,-,,,,,,,,,,
1998,강동구,411,"2,551",3,"1,653",3,276,207,443,-,-,126,-,-,-,72,179,-,-,-,-,-,-,,,,,,,,,,
1999,강동구,429,"2,602",3,"1,695",4,271,213,489,-,-,128,-,-,-,81,147,-,-,-,-,-,-,,,,,,,,,,
2000,강동구,464,"2,660",3,"1,695",4,274,231,621,-,-,136,-,-,-,90,70,-,-,-,-,-,-,,,,,,,,,,
2001,강동구,492,"2,773",3,"1,660",4,300,257,743,-,-,135,-,-,-,93,70,-,-,-,-,-,-,,,,,,,,,,
2002,강동구,523,"2,980",3,"1,660",4,371,266,879,-,-,141,-,-,-,109,70,-,-,-,-,-,-,,,,,,,,,,
2003,강동구,521,"3,000",3,"1,660",4,371,269,899,-,-,138,-,-,-,107,70,-,-,-,-,-,-,,,,,,,,,,
2004,강동구,565,"3,028",3,"1,660",5,429,276,868,-,-,156,-,-,-,1,71,124,-,-,-,-,-,,,,,,,,,,
2005,강동구,599,"2,978",3,"1,688",5,418,286,601,-,-,162,-,-,-,1,71,141,-,-,-,1,200,,,,,,,,,,
2006,강동구,607,"3,918",3,"2,037",6,626,285,667,1,116,1,10,165,-,2,183,143,-,-,-,1,279,,,,,,,,,,
2007,강동구,627,"4,533",3,"2,040",7,711,297,"1,062",2,269,1,10,168,-,2,141,146,-,-,-,1,300,,,,,,,,,,
2008,강동구,648,"4,659",3,"2,049",8,755,305,"1,065",2,319,1,10,173,-,2,161,153,-,-,-,1,300,,,,,,,,,,
2009,강동구,666,"4,747",3,"2,036",8,762,312,"1,024",3,476,1,10,180,-,2,161,156,-,-,-,1,278,,,,,,,,,,
2010,강동구,691,"5,211",3,"2,118",8,746,324,935,5,963,1,10,193,-,2,161,154,-,,,,,-,-,1,278,-,-,-,-,-,-
2011,강동구,705,"5,396",3,"2,315",8,675,327,909,5,"1,011",2,10,198,-,3,198,158,-,,,,,-,-,1,278,-,-,-,-,-,-
2012,강동구,713,"5,591",3,"2,246",12,895,324,924,5,"1,019",2,10,203,-,3,200,159,19,,,,,1,-,1,278,-,-,-,-,-,-
2013,강동구,722,"5,699",3,"2,145",12,930,334,981,6,"1,188",2,10,200,-,3,176,160,19,,,,,1,-,1,250,-,-,-,-,-,-
2014,강동구,735,"6,138",3,"2,185",14,"1,013",334,788,7,"1,635",3,10,205,-,4,232,163,19,,,,,1,-,1,256,-,-,-,-,-,-
2015,강동구,738,"5,767",3,"2,244",13,884,333,703,6,"1,464",3,10,207,-,4,188,167,19,,,,,1,-,1,255,-,-,-,-,-,-
2016,강동구,758,"5,805",3,"2,245",15,954,343,733,5,"1,360",3,10,209,-,4,229,174,19,,,,,1,-,1,255,-,-,-,-,-,-
2017,강동구,761,"5,937",3,"2,250",14,913,344,693,6,"1,673",3,10,212,-,5,379,173,19,,,,,1,-,-,-,-,-,-,-,-,-
2018,강동구,771,"5,778",3,"2,266",15,949,341,618,6,"1,497",3,10,213,-,5,364,182,74,,,,,3,-,-,-,-,-,-,-,-,-
2019,강동구,789,"5,890",3,"2,259",15,934,352,599,6,"1,595",3,9,217,-,5,365,185,129,,,,,3,-,-,-,-,-,-,-,-,-
