기간	자치구	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	일반고	일반고	일반고	일반고	일반고	특수목적고	특수목적고	특수목적고	특수목적고	특수목적고	특성화고	특성화고	특성화고	특성화고	특성화고	자율고	자율고	자율고	자율고	자율고
기간	자치구	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타
기간	자치구	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타
2018	합계	96,851	53,158	54.9	8,953	34,740	63,554	38,789	61	1,294	23,471	4,470	2,684	60	497	1,289	15,426	4,303	27.9	6,981	4,142	13,401	7,382	55.1	181	5,838
2018	종로구	3,678	2,035	55.3	391	1,252	1,764	1,107	62.8	91	566	633	421	66.5	-	212	606	175	28.9	248	183	675	332	49.2	52	291
2018	중구	2,614	1,075	41.1	656	883	513	317	61.8	6	190	161	115	71.4	-	46	1,306	316	24.2	644	346	634	327	51.6	6	301
2018	용산구	2,420	1,326	54.8	330	764	1,573	993	63.1	35	545	-	-	-	-	-	708	249	35.2	295	164	139	84	60.4	-	55
2018	성동구	2,131	1,085	50.9	261	785	700	450	64.3	31	219	-	-	-	-	-	805	268	33.3	230	307	626	367	58.6	-	259
2018	광진구	3,395	2,112	62.2	34	1,249	2,480	1,491	60.1	31	958	649	470	72.4	2	177	-	-	-	-	-	266	151	56.8	1	114
2018	동대문구	3,080	1,818	59	305	957	1,480	1,067	72.1	40	373	-	-	-	-	-	637	153	24	265	219	963	598	62.1	-	365
2018	중랑구	2,777	1,709	61.5	241	827	1,781	1,211	68	8	562	-	-	-	-	-	412	122	29.6	187	103	584	376	64.4	46	162
2018	성북구	3,590	2,056	57.3	318	1,216	2,466	1,595	64.7	22	849	487	245	50.3	74	168	394	54	13.7	219	121	243	162	66.7	3	78
2018	강북구	2,162	1,270	58.7	87	805	1,383	906	65.5	-	477	-	-	-	-	-	200	71	35.5	87	42	579	293	50.6	-	286
2018	도봉구	2,722	1,527	56.1	285	910	1,603	1,051	65.6	45	507	272	175	64.3	-	97	470	86	18.3	240	144	377	215	57	-	162
2018	노원구	8,907	4,906	55.1	972	3,029	6,553	4,159	63.5	122	2,272	-	-	-	-	-	2,106	573	27.2	848	685	248	174	70.2	2	72
2018	은평구	5,163	2,850	55.2	892	1,421	3,339	2,172	65	184	983	-	-	-	-	-	1,273	339	26.6	708	226	551	339	61.5	-	212
2018	서대문구	2,102	1,300	61.8	65	737	1,539	942	61.2	24	573	146	118	80.8	-	28	-	-	-	-	-	417	240	57.6	41	136
2018	마포구	2,276	1,263	55.5	242	771	848	547	64.5	10	291	-	-	-	-	-	499	137	27.5	231	131	929	579	62.3	1	349
2018	양천구	5,656	2,969	52.5	220	2,467	4,391	2,465	56.1	65	1,861	-	-	-	-	-	577	209	36.2	155	213	688	295	42.9	-	393
2018	강서구	6,428	3,584	55.8	668	2,176	4,422	2,741	62	52	1,629	492	346	70.3	-	146	1,253	344	27.5	616	293	261	153	58.6	-	108
2018	구로구	3,762	2,310	61.4	232	1,220	1,870	1,228	65.7	-	642	439	267	60.8	-	172	800	358	44.8	207	235	653	457	70	25	171
2018	금천구	1,776	1,095	61.7	239	442	978	707	72.3	32	239	169	136	80.5	-	33	296	29	9.8	203	64	333	223	67	4	106
2018	영등포구	2,533	1,447	57.1	99	987	1,720	1,025	59.6	21	674	-	-	-	-	-	187	49	26.2	78	60	626	373	59.6	-	253
2018	동작구	2,442	1,340	54.9	335	767	1,653	1,085	65.6	62	506	-	-	-	-	-	492	121	24.6	273	98	297	134	45.1	-	163
2018	관악구	3,798	2,218	58.4	657	923	2,553	1,782	69.8	84	687	114	-	-	103	11	801	239	29.8	470	92	330	197	59.7	-	133
2018	서초구	4,240	2,038	48.1	122	2,080	3,266	1,674	51.3	1	1,591	-	-	-	-	-	180	21	11.7	121	38	794	343	43.2	-	451
2018	강남구	8,253	3,602	43.6	536	4,115	6,063	2,889	47.6	21	3,153	503	111	22.1	308	84	347	76	21.9	207	64	1,340	526	39.3	-	814
2018	송파구	6,511	3,554	54.6	515	2,442	5,379	3,136	58.3	169	2,074	138	111	80.4	10	17	573	88	15.4	336	149	421	219	52	-	202
2018	강동구	4,435	2,669	60.2	251	1,515	3,237	2,049	63.3	138	1,050	267	169	63.3	-	98	504	226	44.8	113	165	427	225	52.7	-	202
2019	합계	96,806	53,570	55.3	7,232	36,004	64,527	38,651	59.9	1,141	24,735	4,169	2,482	59.5	505	1,182	14,942	5,093	34.1	5,465	4,384	13,168	7,344	55.8	121	5,703
2019	종로구	3,737	2,043	54.7	226	1,468	1,826	1,088	59.6	50	688	629	420	66.8	-	209	575	179	31.1	175	221	707	356	50.4	1	350
2019	중구	2,669	1,167	43.7	595	907	549	343	62.5	9	197	152	92	60.5	-	60	1,274	342	26.8	580	352	694	390	56.2	6	298
2019	용산구	2,444	1,366	55.9	260	818	1,568	1,000	63.8	46	522	-	-	-	-	-	701	261	37.2	214	226	175	105	60	-	70
2019	성동구	2,059	1,048	50.9	201	810	664	408	61.4	42	214	-	-	-	-	-	763	323	42.3	156	284	632	317	50.2	3	312
2019	광진구	3,343	2,043	61.1	35	1,265	2,454	1,468	59.8	35	951	638	443	69.4	-	195	-	-	-	-	-	251	132	52.6	-	119
2019	동대문구	3,114	1,781	57.2	352	981	1,489	1,022	68.6	78	389	-	-	-	-	-	631	205	32.5	273	153	994	554	55.7	1	439
2019	중랑구	2,769	1,699	61.4	247	823	1,764	1,182	67	46	536	-	-	-	-	-	373	160	42.9	150	63	632	357	56.5	51	224
2019	성북구	3,553	2,049	57.7	290	1,214	2,589	1,630	63	13	946	379	186	49.1	116	77	380	63	16.6	157	160	205	170	82.9	4	31
2019	강북구	2,200	1,265	57.5	103	832	1,436	861	60	9	566	-	-	-	-	-	192	73	38	82	37	572	331	57.9	12	229
2019	도봉구	2,725	1,513	55.5	140	1,072	1,717	950	55.3	11	756	225	141	62.7	-	84	399	156	39.1	129	114	384	266	69.3	-	118
2019	노원구	8,976	5,085	56.7	679	3,212	6,637	4,162	62.7	70	2,405	-	-	-	-	-	2,077	755	36.4	609	713	262	168	64.1	-	94
2019	은평구	5,193	2,974	57.3	740	1,479	3,746	2,402	64.1	165	1,179	-	-	-	-	-	1,240	414	33.4	575	251	207	158	76.3	-	49
2019	서대문구	2,142	1,282	59.9	67	793	1,608	957	59.5	37	614	139	109	78.4	-	30	-	-	-	-	-	395	216	54.7	30	149
2019	마포구	2,392	1,278	53.4	174	940	941	593	63	1	347	-	-	-	-	-	519	141	27.2	172	206	932	544	58.4	1	387
2019	양천구	5,444	2,939	54	181	2,324	4,229	2,388	56.5	107	1,734	-	-	-	-	-	531	252	47.5	74	205	684	299	43.7	-	385
2019	강서구	6,264	3,418	54.6	590	2,256	4,338	2,537	58.5	123	1,678	456	314	68.9	-	142	1,206	414	34.3	467	325	264	153	58	-	111
2019	구로구	3,844	2,352	61.2	244	1,248	1,947	1,310	67.3	11	626	410	249	60.7	-	161	811	336	41.4	233	242	676	457	67.6	-	219
2019	금천구	1,726	1,041	60.3	222	463	939	672	71.6	29	238	177	135	76.3	-	42	291	29	10	182	80	319	205	64.3	11	103
2019	영등포구	2,539	1,546	60.9	90	903	1,748	1,096	62.7	21	631	-	-	-	-	-	196	66	33.7	69	61	595	384	64.5	-	211
2019	동작구	2,487	1,282	51.5	310	895	1,707	1,013	59.3	63	631	-	-	-	-	-	485	136	28	247	102	295	133	45.1	-	162
2019	관악구	3,749	2,128	56.8	501	1,120	2,555	1,671	65.4	24	860	114	-	-	93	21	750	240	32	384	126	330	217	65.8	-	113
2019	서초구	4,262	2,217	52	73	1,972	3,321	1,772	53.4	3	1,546	-	-	-	-	-	162	35	21.6	70	57	779	410	52.6	-	369
2019	강남구	7,916	3,549	44.8	384	3,983	5,792	2,739	47.3	6	3,047	483	113	23.4	284	86	317	151	47.6	93	73	1,324	546	41.2	1	777
2019	송파구	6,672	3,743	56.1	391	2,538	5,557	3,301	59.4	111	2,145	127	103	81.1	12	12	567	127	22.4	268	172	421	212	50.4	-	209
2019	강동구	4,587	2,762	60.2	137	1,688	3,406	2,086	61.2	31	1,289	240	177	73.8	-	63	502	235	46.8	106	161	439	264	60.1	-	175
2020	합계	83,638	49,087	58.7	5,855	28,696	53,715	34,439	64.1	875	18,401	4,095	2,437	59.5	433	1,225	14,105	5,084	36	4,391	4,630	11,723	7,127	60.8	156	4,440
2020	종로구	3,219	1,870	58.1	197	1,152	1,478	954	64.5	46	478	629	384	61	-	245	473	176	37.2	151	146	639	356	55.7	-	283
2020	중구	2,380	1,120	47.1	464	796	403	285	70.7	11	107	128	87	68	-	41	1,265	400	31.6	446	419	584	348	59.6	7	229
2020	용산구	2,155	1,141	52.9	245	769	1,305	810	62.1	39	456	-	-	-	-	-	693	238	34.3	206	249	157	93	59.2	-	64
2020	성동구	1,979	1,170	59.1	152	657	780	534	68.5	29	217	-	-	-	-	-	657	296	45.1	119	242	542	340	62.7	4	198
2020	광진구	2,697	1,690	62.7	26	981	1,872	1,134	60.6	26	712	631	430	68.1	-	201	-	-	-	-	-	194	126	64.9	-	68
2020	동대문구	2,628	1,768	67.3	186	674	1,228	890	72.5	27	311	-	-	-	-	-	529	157	29.7	148	224	871	721	82.8	11	139
2020	중랑구	2,298	1,440	62.7	214	644	1,445	985	68.2	36	424	-	-	-	-	-	360	148	41.1	132	80	493	307	62.3	46	140
2020	성북구	3,064	1,911	62.4	351	802	2,195	1,534	69.9	57	604	382	204	53.4	110	68	303	35	11.6	179	89	184	138	75	5	41
2020	강북구	1,926	1,181	61.3	83	662	1,204	802	66.6	2	400	-	-	-	-	-	181	45	24.9	73	63	541	334	61.7	8	199
2020	도봉구	2,520	1,479	58.7	127	914	1,500	966	64.4	38	496	209	122	58.4	-	87	399	136	34.1	89	174	412	255	61.9	-	157
2020	노원구	7,567	4,482	59.2	611	2,474	5,321	3,506	65.9	116	1,699	-	-	-	-	-	2,018	821	40.7	495	702	228	155	68	-	73
2020	은평구	4,525	2,654	58.7	509	1,362	3,107	2,095	67.4	67	945	-	-	-	-	-	1,214	408	33.6	442	364	204	151	74	-	53
2020	서대문구	1,969	1,292	65.6	74	603	1,432	944	65.9	20	468	138	115	83.3	-	23	-	-	-	-	-	399	233	58.4	54	112
2020	마포구	2,139	1,223	57.2	162	754	760	523	68.8	-	237	-	-	-	-	-	496	176	35.5	155	165	883	524	59.3	7	352
